MSA,STORE,DEPT,DEPTDESC,STYPE,ORIG,ACTUAL,MARKDOWN
2680,5202,3107,ONEIDA  ,R,200,149,51
2680,5202,3404,CITIZENS,P,19705.9,15586.47,4119.43
2680,5202,3404,CITIZENS,R,2369.54,2022.48,347.06
2680,5202,3701,LACOSTE ,R,4291.97,2550.8,1741.17
2680,5202,3701,LACOSTE ,P,32684.77,20762.59,11922.18
2680,5202,4303,ESPRIT  ,R,5379.99,3849.52,1530.47
2680,5202,4303,ESPRIT  ,P,40866,27115.19,13750.81
2680,5202,4400,BORA    ,R,512,496.25,15.75
2680,5202,4400,BORA    ,P,20628,19547.85,1080.15
2680,5202,4402,1928,R,7480.47,6217.35,1263.12
2680,5202,4402,1928,P,76535.63,56892.98,19642.65
2680,5202,4407,ENVIRON ,P,0,33,-33
2680,5202,4505,POLOMEN ,P,155437.5,106589.54,48847.96
2680,5202,4505,POLOMEN ,R,21575,14857.92,6717.08
2680,5202,4704,DKNY    ,R,901,637.71,263.29
2680,5202,4704,DKNY    ,P,4377,2813.69,1563.31
2680,5202,4801,GOTTEX  ,R,0,125,-125
2680,5202,5100,COLOR   ,R,277,277,0
2680,5202,5102,P&Y     ,P,43547,36740,6807
2680,5202,5102,P&Y     ,R,4422,3753.09,668.91
2680,5202,5203,COLEHAAN,R,2447.97,1923.76,524.21
2680,5202,5203,COLEHAAN,P,21692.84,14979.01,6713.83
2680,5202,5207,H SIERR ,P,29075,10160.65,18914.35
2680,5202,5207,H SIERR ,R,3440,1317.46,2122.54
2680,5202,5301,KAREN K ,R,6562,4273.98,2288.02
2680,5202,5301,KAREN K ,P,34580,20127.26,14452.74
2680,5202,5305,LIZ CLA ,P,57720.49,39272.65,18447.84
2680,5202,5305,LIZ CLA ,R,6674,4895.81,1778.19
2680,5202,5404,CARTIER ,P,11862.42,9679.23,2183.19
2680,5202,5404,CARTIER ,R,870.81,759.68,111.13
2680,5202,6006,INVEST  ,P,43356.81,32623.78,10733.03
2680,5202,6006,INVEST  ,R,6198.93,4720.08,1478.85
2680,5202,6107,NOB     ,P,5053,4154.79,898.21
2680,5202,6107,NOB     ,R,358,262.14,95.86
2680,5202,6400,BLUE    ,R,1420.5,1320.51,99.99
2680,5202,6400,BLUE    ,P,20696.5,20134.06,562.44
2680,5202,6402,FREDERI ,P,12738.45,10383.8,2354.65
2680,5202,6402,FREDERI ,R,283,235.33,47.67
2680,5202,6404,ELLEN T ,P,28857.95,22344.05,6513.9
2680,5202,6404,ELLEN T ,R,1879.86,1579.69,300.17
2680,5202,6505,ST JOHN ,R,2343.95,1717.91,626.04
2680,5202,6505,ST JOHN ,P,27928.34,21508.53,6419.81
2680,5202,6601,MATTY M ,P,5521.96,4735.02,786.94
2680,5202,6601,MATTY M ,R,1422.24,1319.04,103.2
2680,5202,7101,CAROLE  ,R,6818,4491.61,2326.39
2680,5202,7101,CAROLE  ,P,48598,31069.3,17528.7
2680,5202,7102,BCH     ,P,43133,28493.05,14639.95
2680,5202,7102,BCH     ,R,3806,2730.71,1075.29
2680,5202,7104,CARTERS ,R,772,655.16,116.84
2680,5202,7104,CARTERS ,P,11301.5,10022.28,1279.22
2680,5202,7106,BRIOSO  ,P,26625.64,22506.97,4118.67
2680,5202,7106,BRIOSO  ,R,3722.98,3269.72,453.26
2680,5202,7200,COFFRET ,P,7115,7037,78
2680,5202,7200,COFFRET ,R,618,604,14
2680,5202,7205,LOUISVL ,P,7520,4499.39,3020.61
2680,5202,7205,LOUISVL ,R,739,546.53,192.47
2680,5202,7307,SIGRID O,P,12278,9583.32,2694.68
2680,5202,7307,SIGRID O,R,2252,1774.97,477.03
2680,5202,8000,ETERNIT ,P,9430.5,9206.5,224
2680,5202,8000,ETERNIT ,R,558,551,7
2680,5202,8101,ECHO    ,P,17159,12714.67,4444.33
2680,5202,8101,ECHO    ,R,2231,1903.64,327.36
2680,5202,8305,NO FEAR ,P,52311,42208.14,10102.86
2680,5202,8305,NO FEAR ,R,4795.5,3866.45,929.05
2680,5202,8306,REEBOK  ,R,2279.92,2184.83,95.09
2680,5202,8306,REEBOK  ,P,15627.49,14861.77,765.72
2680,5202,9000,ANNASUI ,R,105,105,0
2680,5202,9000,ANNASUI ,P,2406.25,2406.25,0
2680,5202,9105,LISLI   ,P,45246,38472.62,6773.38
2680,5202,9105,LISLI   ,R,4353,3623.57,729.43
2680,5202,9306,SPERRY  ,P,30571.79,25808.73,4763.06
2680,5202,9306,SPERRY  ,R,4641.96,3983.25,658.71
2680,5202,9801,CATALIN ,R,136,27.49,108.51
2680,5302,800,CLINIQUE,P,87630.5,87552.8,77.7
2680,5302,800,CLINIQUE,R,3758,3717.1,40.9
2680,5302,801,LESLIE  ,R,8331,6182.03,2148.97
2680,5302,801,LESLIE  ,P,68553,46460.93,22092.07
2680,5302,1100,GARY F  ,P,24138,24069.61,68.39
2680,5302,1100,GARY F  ,R,1884,1884,0
2680,5302,1107,JACQUES ,R,550,550,0
2680,5302,1107,JACQUES ,P,4568.5,4192.13,376.37
2680,5302,1202,CABERN  ,R,743,599.95,143.05
2680,5302,1202,CABERN  ,P,23182,18510.33,4671.67
2680,5302,1301,BE2     ,P,54313,36908.25,17404.75
2680,5302,1301,BE2     ,R,7884,5727.18,2156.82
2680,5302,1704,R LAUREN,P,19318.75,13331.17,5987.58
2680,5302,1704,R LAUREN,R,1571.5,1182.27,389.23
2680,5302,1905,R & Y   ,R,3605,3180.43,424.57
2680,5302,1905,R & Y   ,P,48896.5,41476.87,7419.63
2680,5302,2102,CAB     ,R,3447,3308.52,138.48
2680,5302,2102,CAB     ,P,34171,31707.11,2463.89
2680,5302,2105,R TAYLOR,P,27771.45,24027.88,3743.57
2680,5302,2105,R TAYLOR,R,1363,1229.46,133.54
2680,5302,2107,MAI     ,R,601,411.94,189.06
2680,5302,2107,MAI     ,P,16773,10474.97,6298.03
2680,5302,2200,CELEBRT ,R,5555.5,5541.5,14
2680,5302,2200,CELEBRT ,P,122009.5,121693,316.5
2680,5302,2301,BEP     ,P,47463,31225.68,16237.32
2680,5302,2301,BEP     ,R,6717,4580.95,2136.05
2680,5302,2503,CHORUS  ,P,33458,22375.68,11082.32
2680,5302,2503,CHORUS  ,R,6579,4460.18,2118.82
2680,5302,3100,4711,R,1605,1605,0
2680,5302,3100,4711,P,36204,36135.7,68.3
2680,5302,3102,CAMBIO  ,P,45567,36909.38,8657.62
2680,5302,3102,CAMBIO  ,R,5333,4315.37,1017.63
2680,5302,3103,COP     ,R,7416.99,5293.38,2123.61
2680,5302,3103,COP     ,P,70183.85,47398.93,22784.92
2680,5302,3105,AUSTIN  ,R,2725,2502.5,222.5
2680,5302,3105,AUSTIN  ,P,42705,32795.8,9909.2
2680,5302,3107,ONEIDA  ,R,165,154.99,10.01
2680,5302,3107,ONEIDA  ,P,4146,3250.7,895.3
2680,5302,3404,CITIZENS,P,31249.6,25678.61,5570.99
2680,5302,3404,CITIZENS,R,2889.29,2439.78,449.51
2680,5302,3701,LACOSTE ,P,44539.71,28202.38,16337.33
2680,5302,3701,LACOSTE ,R,6138.98,4297.36,1841.62
2680,5302,4303,ESPRIT  ,P,89674.96,69478.42,20196.54
2680,5302,4303,ESPRIT  ,R,12744,9855.3,2888.7
2680,5302,4400,BORA    ,P,15415,14777.35,637.65
2680,5302,4400,BORA    ,R,678,678,0
2680,5302,4402,1928,P,85470.09,64667.04,20803.05
2680,5302,4402,1928,R,8730.96,6968.69,1762.27
2680,5302,4505,POLOMEN ,R,31050,22025.41,9024.59
2680,5302,4505,POLOMEN ,P,250838.5,176352.29,74486.21
2680,5302,4704,DKNY    ,P,22914.5,15290.32,7624.18
2680,5302,4704,DKNY    ,R,3118.5,1971.7,1146.8
2680,5302,4801,GOTTEX  ,R,550,330,220
2680,5302,5100,COLOR   ,R,1397.5,1397.5,0
2680,5302,5100,COLOR   ,P,24538,24528.85,9.15
2680,5302,5102,P&Y     ,P,71694,60616.2,11077.8
2680,5302,5102,P&Y     ,R,5957,5392.47,564.53
2680,5302,5203,COLEHAAN,P,47435.99,33373.03,14062.96
2680,5302,5203,COLEHAAN,R,5089,3789.38,1299.62
2680,5302,5207,H SIERR ,R,5420,2277.22,3142.78
2680,5302,5207,H SIERR ,P,66410,25773.66,40636.34
2680,5302,5301,KAREN K ,R,9328,5966.82,3361.18
2680,5302,5301,KAREN K ,P,44870,24774.8,20095.2
2680,5302,5305,LIZ CLA ,R,8019,5136.99,2882.01
2680,5302,5305,LIZ CLA ,P,87882.99,55128.1,32754.89
2680,5302,5404,CARTIER ,P,28345.65,22839.87,5505.78
2680,5302,5404,CARTIER ,R,2397.74,1975.02,422.72
2680,5302,6006,INVEST  ,P,68575.22,52072.26,16502.96
2680,5302,6006,INVEST  ,R,7824.43,6053.27,1771.16
2680,5302,6107,NOB     ,R,442,337.13,104.87
2680,5302,6107,NOB     ,P,10570,7863.14,2706.86
2680,5302,6400,BLUE    ,R,1608,1608,0
2680,5302,6400,BLUE    ,P,28166,27991.02,174.98
2680,5302,6402,FREDERI ,P,13525.87,11061.89,2463.98
2680,5302,6402,FREDERI ,R,235.5,205.99,29.51
2680,5302,6404,ELLEN T ,P,65408.89,54394.42,11014.47
2680,5302,6404,ELLEN T ,R,5416.58,4797.66,618.92
2680,5302,6505,ST JOHN ,P,45377.07,34161.82,11215.25
2680,5302,6505,ST JOHN ,R,3192.49,2415.11,777.38
2680,5302,6601,MATTY M ,P,17958,13096.62,4861.38
2680,5302,6601,MATTY M ,R,2524,1773.61,750.39
2680,5302,7101,CAROLE  ,P,45953,28948.12,17004.88
2680,5302,7101,CAROLE  ,R,5496,3644.78,1851.22
2680,5302,7102,BCH     ,R,6556,5173.78,1382.22
2680,5302,7102,BCH     ,P,63489,47627.73,15861.27
2680,5302,7104,CARTERS ,R,988,877.79,110.21
2680,5302,7104,CARTERS ,P,15002.5,13458.65,1543.85
2680,5302,7106,BRIOSO  ,R,9896.97,8460.54,1436.43
2680,5302,7106,BRIOSO  ,P,76220.91,61628.77,14592.14
2680,5302,7200,COFFRET ,R,930,885.5,44.5
2680,5302,7200,COFFRET ,P,14227.5,12813.99,1413.51
2680,5302,7205,LOUISVL ,R,1523,1020.9,502.1
2680,5302,7205,LOUISVL ,P,27067,14963.85,12103.15
2680,5302,7307,SIGRID O,P,28899,20458.24,8440.76
2680,5302,7307,SIGRID O,R,6254,5144.81,1109.19
2680,5302,8000,ETERNIT ,P,16840,16352,488
2680,5302,8000,ETERNIT ,R,638,631,7
2680,5302,8101,ECHO    ,R,2810,2066.8,743.2
2680,5302,8101,ECHO    ,P,19569,13634.65,5934.35
2680,5302,8305,NO FEAR ,P,103783.5,87354.41,16429.09
2680,5302,8305,NO FEAR ,R,10119,9109.38,1009.62
2680,5302,8306,REEBOK  ,R,3649.95,3535.22,114.73
2680,5302,8306,REEBOK  ,P,36280.49,34819.57,1460.92
2680,5302,9000,ANNASUI ,P,12641,12638.4,2.6
2680,5302,9000,ANNASUI ,R,717.25,717.25,0
2680,5302,9105,LISLI   ,R,6786.5,6130.86,655.64
2680,5302,9105,LISLI   ,P,72159,63089,9070
2680,5302,9306,SPERRY  ,R,6503,5506.28,996.72
2680,5302,9306,SPERRY  ,P,56417.83,45302.39,11115.44
2680,5302,9801,CATALIN ,P,134,9,125
2680,5402,800,CLINIQUE,P,58300,58290.6,9.4
2680,5402,800,CLINIQUE,R,2867,2866,1
2680,5402,801,LESLIE  ,R,4941,3340.48,1600.52
2680,5402,801,LESLIE  ,P,43051.96,25039.1,18012.86
2680,5402,1100,GARY F  ,R,543,543,0
2680,5402,1100,GARY F  ,P,6380.5,6380.5,0
2680,5402,1107,JACQUES ,R,60,60,0
2680,5402,1107,JACQUES ,P,4293,3441.23,851.77
2680,5402,1202,CABERN  ,R,467,355.85,111.15
2680,5402,1202,CABERN  ,P,14158.96,10961.65,3197.31
2680,5402,1301,BE2     ,R,8272,5080.72,3191.28
2680,5402,1301,BE2     ,P,59761,37270.94,22490.06
2680,5402,1704,R LAUREN,R,1101,822.75,278.25
2680,5402,1704,R LAUREN,P,9084,5876.45,3207.55
2680,5402,1905,R & Y   ,P,30205.5,24501.1,5704.4
2680,5402,1905,R & Y   ,R,2863,2316.79,546.21
2680,5402,2102,CAB     ,P,25054,23377.81,1676.19
2680,5402,2102,CAB     ,R,2284,2155.32,128.68
2680,5402,2105,R TAYLOR,R,1081,915.26,165.74
2680,5402,2105,R TAYLOR,P,21102.65,18364.23,2738.42
2680,5402,2107,MAI     ,P,11229.99,6952.09,4277.9
2680,5402,2107,MAI     ,R,514,332.2,181.8
2680,5402,2200,CELEBRT ,R,3381,3381,0
2680,5402,2200,CELEBRT ,P,49535,49489.5,45.5
2680,5402,2301,BEP     ,R,7838,5234.7,2603.3
2680,5402,2301,BEP     ,P,48048,29586,18462
2680,5402,2503,CHORUS  ,R,4081,2857.23,1223.77
2680,5402,2503,CHORUS  ,P,26272,16436.55,9835.45
2680,5402,3100,4711,P,11624,11711.8,-87.8
2680,5402,3100,4711,R,506,506,0
2680,5402,3102,CAMBIO  ,P,33290,27509.77,5780.23
2680,5402,3102,CAMBIO  ,R,4354,3585.02,768.98
2680,5402,3103,COP     ,R,3632,2493.57,1138.43
